Weather_ID,Weather_Key 
9030,11/11/2016 8:51
9031,11/11/2016 9:51
9032,11/11/2016 10:27
9033,11/11/2016 10:51
9034,11/11/2016 11:51
9035,11/11/2016 12:51
9036,11/11/2016 13:51
9037,11/11/2016 14:51
9038,11/11/2016 15:51
9039,11/11/2016 16:51
9040,11/11/2016 17:02
9041,11/11/2016 17:51
9042,11/11/2016 18:51
9043,11/11/2016 19:51
9044,11/11/2016 20:51
9045,11/11/2016 21:51
9046,11/11/2016 22:51
9047,11/11/2016 23:51
9048,11/12/2016 0:52
9049,11/12/2016 1:51
9050,11/12/2016 2:51
9051,11/12/2016 3:51
9052,11/12/2016 4:51
9053,11/12/2016 5:51
9054,11/12/2016 6:51
9055,11/12/2016 7:51
9056,11/12/2016 8:51
9057,11/12/2016 9:51
9058,11/12/2016 10:51
9059,11/12/2016 11:51
9060,11/12/2016 12:51
9061,11/12/2016 13:51
9062,11/12/2016 14:51
9063,11/12/2016 15:51
9064,11/12/2016 16:51
9065,11/12/2016 17:10
9066,11/12/2016 17:18
9067,11/12/2016 17:35
9068,11/12/2016 17:51
9069,11/12/2016 18:45
9070,11/12/2016 18:51
9071,11/12/2016 19:00
9072,11/12/2016 19:08
9073,11/12/2016 19:15
9074,11/12/2016 19:24
9075,11/12/2016 19:51
9076,11/12/2016 20:51
9077,11/12/2016 21:51
9078,11/12/2016 22:51
9079,11/12/2016 23:51
9080,11/13/2016 0:51
9081,11/13/2016 1:51
9082,11/13/2016 2:51
9083,11/13/2016 3:51
9084,11/13/2016 4:51
9085,11/13/2016 5:51
9086,11/13/2016 6:51
9087,11/13/2016 7:51
9088,11/13/2016 8:51
9089,11/13/2016 9:51
9090,11/13/2016 10:51
9091,11/13/2016 11:51
9092,11/13/2016 12:51
9093,11/13/2016 13:51
9094,11/13/2016 14:51
9095,11/13/2016 15:51
9096,11/13/2016 16:51
9097,11/13/2016 17:51
9098,11/13/2016 18:51
9099,11/13/2016 19:51
9100,11/13/2016 20:51
9101,11/13/2016 21:51
9102,11/13/2016 22:51
9103,11/13/2016 23:51
9104,11/14/2016 0:51
9105,11/14/2016 1:51
9106,11/14/2016 2:51
9107,11/14/2016 3:51
9108,11/14/2016 4:51
9109,11/14/2016 5:51
9110,11/14/2016 6:51
9111,11/14/2016 7:51
9112,11/14/2016 8:51
9113,11/14/2016 9:51
9114,11/14/2016 10:51
9115,11/14/2016 11:51
9116,11/14/2016 12:51
9117,11/14/2016 13:51
9118,11/14/2016 14:51
9119,11/14/2016 15:51
9120,11/14/2016 16:51
9121,11/14/2016 17:51
9122,11/14/2016 18:51
9123,11/14/2016 19:51
9124,11/14/2016 20:51
9125,11/14/2016 21:51
9126,11/14/2016 22:51
9127,11/14/2016 23:51
9128,11/15/2016 0:51
9129,11/15/2016 1:51
9130,11/15/2016 2:51
9131,11/15/2016 3:51
9132,11/15/2016 4:01
9133,11/15/2016 4:28
9134,11/15/2016 4:51
9135,11/15/2016 5:43
9136,11/15/2016 5:51
9137,11/15/2016 6:51
